[2025-08-29T20:06:33.893Z] GET /src/pages/Dashboard.tsx -> 200 (10ms)
[2025-08-29T20:06:33.893Z] GET /src/components/Sidebar.tsx -> 200 (12ms)
[2025-08-29T20:06:33.893Z] GET /src/pages/Flows.ts -> 200 (9ms)
[2025-08-29T20:06:33.893Z] GET /src/pages/Configuration.tsx -> 200 (9ms)
[2025-08-29T20:06:33.893Z] GET /src/pages/Documentation.tsx -> 200 (8ms)
[2025-08-29T20:06:33.893Z] GET /src/pages/Callback.tsx -> 200 (6ms)
[2025-08-29T20:06:33.893Z] GET /src/pages/Login.tsx -> 200 (8ms)
[2025-08-29T20:06:33.898Z] GET /src/components/Card.tsx -> 200 (2ms)
[2025-08-29T20:06:33.898Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=bcf562e2 -> 200 (3ms)
[2025-08-29T20:06:33.942Z] GET /src/contexts/AuthContext.tsx -> 500 (61ms)
[2025-08-29T20:06:34.010Z] GET /favicon.ico -> 200 (4ms)
[2025-08-29T20:07:23.736Z] GET / -> 200 (3ms)
[2025-08-29T20:07:23.764Z] GET /@vite/client -> 200 (7ms)
[2025-08-29T20:07:23.766Z] GET /src/main.tsx -> 200 (2ms)
[2025-08-29T20:07:23.775Z] GET /@react-refresh -> 200 (5ms)
[2025-08-29T20:07:23.778Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (3ms)
[2025-08-29T20:07:23.795Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (14ms)
[2025-08-29T20:07:23.795Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (13ms)
[2025-08-29T20:07:23.796Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (10ms)
[2025-08-29T20:07:23.796Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (8ms)
[2025-08-29T20:07:23.801Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (4ms)
[2025-08-29T20:07:23.801Z] GET /src/styles/global.ts -> 200 (3ms)
[2025-08-29T20:07:23.801Z] GET /src/App.tsx -> 200 (7ms)
[2025-08-29T20:07:23.809Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:07:23.817Z] GET /src/components/Navbar.tsx -> 200 (6ms)
[2025-08-29T20:07:23.817Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=bcf562e2 -> 200 (12ms)
[2025-08-29T20:07:23.818Z] GET /src/components/Sidebar.tsx -> 200 (7ms)
